Estabelecimento;CNES;Endereço;CEP;Horário;Sala Vacina;Farmácia;Coleta de Material;Região Administrativa
UBS 5 SANTA MARIA;3144593;EQ 213/313 LOTE E;72542300;De Segunda a Sexta das 07:00 às 18:00;NÃO;NÃO;SIM;SANTA MARIA
UBS 2 SOBRADINHO II;7368895;RODOVIA DF 420, COMPLEXO DE SAUDE SETOR DE MANSOES;73080050;De Segunda a Sexta das 07:00 às 19:00 e Sábado das 07:00 às 12:00;SIM;SIM;SIM;SOBRADINHO
UBS 12 SAO JOSE - SAO SEBASTIAO;7423489;QUADRA 31, CASA 06;71693032;De Segunda a Sexta das 07:00 às 17:00;SIM;NÃO;NÃO;SAO SEBASTIAO
UBS 07 SAMAMBAIA;7299877;QUADRA 302 CONJUNTO 5 N�;72300639;De Segunda a Sexta das 07:00 às 19:00 e Sábado das 07:00 às 12:00;SIM;SIM;SIM;SAMAMBAIA
UBS 05 RIACHO FUNDO II;7526504;QS 09 CONJUNTO 01 LOTE;71884376;De Segunda a Sexta das 07:00 às 19:00 e Sábado das 07:00 às 12:00;SIM;NÃO;SIM;RIACHO FUNDO II
UBS 01 DCCP;0263680;SPO - LOTE 23, CONJ. D EDIF. DO DEPART POLICIA ESP;70610907;De Segunda a Sexta das 07:00 às 18:00;NÃO;NÃO;NÃO;PLANO PILOTO
UBS 15 PFDF GAMA;3027635;GRANJA LUIZ FERNANDO AESP 02;72425100;De Segunda a Sexta das 07:00 às 18:00;SIM;SIM;SIM;GAMA
UBS 17 PDF II - SAO SEBASTIAO;3027643;ROD DF 465 KM;71698904;De Segunda a Sexta das 08:00 às 17:00;NÃO;SIM;SIM;JARDIM BOTANICO
UBS 9 SANTOS DUMONT PLANALTINA;2672235;NUCLEO RURAL SANTOS DUMONT DF 130 KM 25;73310000;De Segunda a Sexta das 07:00 às 17:00;NÃO;NÃO;SIM;PLANALTINA
UBS 14 SAO SEBASTIAO - PDF IV;3028003;RODOVIA 465 KM;71698906;De Segunda a Sexta das 08:00 às 17:00;SIM;SIM;SIM;JARDIM BOTANICO
UBS 15 CIR - SAO SEBASTIAO;3028011;ROD DF 465 KM;71691047;De Segunda a Sexta das 08:00 às 17:00;NÃO;NÃO;SIM;JARDIM BOTANICO
UBS 11 SAMAMBAIA;7771479;QR 831 CONJUNTO 02 LOTE 01;72338712;De Segunda a Sexta das 07:00 às 18:00;SIM;SIM;NÃO;SAMAMBAIA
UBS 8 VALE DO AMANHECER PLANALTINA;5050359;AREA ESPECIAL;73370096;De Segunda a Sexta das 07:00 às 17:00;SIM;SIM;SIM;PLANALTINA
UBS 05 GUARA;9263632;QE 38 CONJUNTO U;70297400;De Segunda a Sexta das 07:00 às 18:00;NÃO;NÃO;NÃO;GUARA
UBS 4 ROTA DO CAVALO SOBRADINHO;7687079;DF 440 CONDOMINIO RESIDENCIAL SERRA VERDE KM 12;73031615;De Segunda a Sexta das 07:00 às 17:00;SIM;SIM;SIM;SOBRADINHO
UBS 18 PLANALTINA;9566961;SETOR RECREATIVO E CULTURAL MODULO ESPORTIVO;73310400;De Segunda a Sexta das 07:00 às 17:00;NÃO;NÃO;SIM;PLANALTINA
UBS 17 CEILANDIA;9509356;EQNP 16 /20 AREA ESPECIAL E, F;72231560;De Segunda a Sexta das 07:00 às 19:00 e Sábado das 07:00 às 12:00;SIM;SIM;SIM;CEILANDIA
UBS 9 ZONA RURAL DE BRAZLANDIA;9548203;INCRA 8 CAAG Q 15;72760120;De Segunda a Sexta das 07:00 às 18:00;NÃO;SIM;SIM;BRAZLANDIA
UBS 3 - ITAPOA;9572481;QUADRA 378, CONJ A, DEL LAGO N� 4;71593620;De Segunda a Sexta das 07:00 às 17:00;SIM;SIM;NÃO;ITAPOA
